miRNA	contrast	estimate	SE	df	z.ratio	p.value	padj
hsa-miR-16-5p	A - B	-0.36104214001167995	0.6451017665317728	Inf	-0.5596669529409788	0.8414932551340664	0.99996069020055
hsa-miR-16-5p	A - C	0.3048850637945987	0.6814066937542768	Inf	0.44743479421196264	0.8955400792009512	0.9746203112355434
hsa-miR-16-5p	B - C	0.6659272038062787	0.7440166026270146	Inf	0.8950434727598636	0.6434372023466144	0.9993328485310491
hsa-miR-17-5p	A - B	-0.11296980537622366	0.6824592354601847	Inf	-0.16553341138397476	0.9850072675593131	0.99996069020055
hsa-miR-17-5p	A - C	-0.24810105059385285	0.6767305735875856	Inf	-0.366617174215408	0.9285954675735706	0.9746203112355434
hsa-miR-17-5p	B - C	-0.1351312452176292	0.7538672181926427	Inf	-0.17925072473850145	0.9824425125229359	0.9993328485310491
hsa-miR-181a-5p	A - B	-0.7627029255702582	0.6012794689892402	Inf	-1.2684666031460765	0.4130706021962882	0.99996069020055
hsa-miR-181a-5p	A - C	0.5878359689190334	0.6842895996791429	Inf	0.8590455988146894	0.6661571872898263	0.9746203112355434
hsa-miR-181a-5p	B - C	1.3505388944892918	0.7295115138792446	Inf	1.8512920890140265	0.15312983190572826	0.4864124072299603
hsa-miR-182-5p	A - B	0.4669487856586407	0.6504398907032036	Inf	0.7178969068975966	0.7528914870200144	0.99996069020055
hsa-miR-182-5p	A - C	0.780979475425903	0.6721971204721363	Inf	1.1618310338451916	0.4761011690367075	0.952202338073415
hsa-miR-182-5p	B - C	0.3140306897672623	0.7580280796343671	Inf	0.4142731624384339	0.9097494364950757	0.9993328485310491
hsa-miR-185-5p	A - B	-0.7151822981074554	0.4709427766726302	Inf	-1.5186182558323962	0.2821098623343834	0.99996069020055
hsa-miR-185-5p	A - C	0.4858389208556113	0.5867916289691859	Inf	0.827958165846848	0.6856409325236933	0.9746203112355434
hsa-miR-185-5p	B - C	1.2010212189630667	0.5994464464523569	Inf	2.003550485737214	0.11132101965206442	0.4864124072299603
hsa-miR-191-5p	A - B	0.11098428220446935	0.4627791445076557	Inf	0.239821270084554	0.9687919346478879	0.99996069020055
hsa-miR-191-5p	A - C	1.686482331657047	0.6238734190517642	Inf	2.7032444084897223	0.01882648145106225	0.25415749958934036
hsa-miR-191-5p	B - C	1.5754980494525777	0.6676775137849156	Inf	2.3596691769974836	0.048013351144457594	0.3176085814051258
hsa-miR-199a-3p	A - B	-0.9880682491334689	0.6766767075073278	Inf	-1.460177715844858	0.31026010475374666	0.99996069020055
hsa-miR-199a-3p	A - C	-0.8144762942273253	0.6819372201381587	Inf	-1.194356709349747	0.4565142067113359	0.952202338073415
hsa-miR-199a-3p	B - C	0.17359195490614365	0.7164410801997325	Inf	0.242297600882614	0.9681546189692771	0.9993328485310491
hsa-miR-199b-3p	A - B	-0.9369139160615738	0.677232455208696	Inf	-1.383445091645607	0.3495760262950425	0.99996069020055
hsa-miR-199b-3p	A - C	-0.7942340416287685	0.6816323294450372	Inf	-1.1651942070814159	0.47406271678219813	0.952202338073415
hsa-miR-199b-3p	B - C	0.14267987443280528	0.7189096480400259	Inf	0.19846704634135257	0.9785194843172178	0.9993328485310491
hsa-miR-20a-5p	A - B	0.21814686827095234	0.6882199101727784	Inf	0.316972620301244	0.94612444261974	0.99996069020055
hsa-miR-20a-5p	A - C	0.35609813740981294	0.6939526224092744	Inf	0.5131447391516535	0.8649409531890309	0.9746203112355434
hsa-miR-20a-5p	B - C	0.1379512691388606	0.7786757460467757	Inf	0.1771613792252029	0.9828458898534882	0.9993328485310491
hsa-miR-2110	A - B	-0.10715964300465597	0.6454200859315737	Inf	-0.1660308461735987	0.9849177137873313	0.99996069020055
hsa-miR-2110	A - C	0.3025635308793443	0.6703794701481981	Inf	0.4513317372509301	0.8938139298152379	0.9746203112355434
hsa-miR-2110	B - C	0.40972317388400026	0.7406318582628799	Inf	0.5532076014728671	0.844830521143237	0.9993328485310491
hsa-miR-221-3p	A - B	-0.33917478997713096	0.5781994468441385	Inf	-0.5866051789367418	0.8273081792140946	0.99996069020055
hsa-miR-221-3p	A - C	0.8824896393465079	0.6729571083465329	Inf	1.3113609001245266	0.3887841142134082	0.952202338073415
hsa-miR-221-3p	B - C	1.221664429323639	0.7240555750393084	Inf	1.6872522931092904	0.21004540695893104	0.5459244242417226
hsa-miR-221-5p	A - B	-0.37684911446584346	0.5868114111312288	Inf	-0.6421979997617473	0.7967765951932511	0.99996069020055
hsa-miR-221-5p	A - C	0.8489440458802053	0.677049491980797	Inf	1.2538877230326373	0.421474969846086	0.952202338073415
hsa-miR-221-5p	B - C	1.2257931603460488	0.7290192905341062	Inf	1.6814276059114812	0.21230394276066988	0.5459244242417226
hsa-miR-222-3p	A - B	-0.8811746302062732	0.6460655662838737	Inf	-1.3639089841526941	0.3599930539885994	0.99996069020055
hsa-miR-222-3p	A - C	-0.2321469489506443	0.6761978460073128	Inf	-0.3433121686520926	0.9371000265352143	0.9746203112355434
hsa-miR-222-3p	B - C	0.6490276812556288	0.715590322457206	Inf	0.9069821948220131	0.6358758191829124	0.9993328485310491
hsa-miR-223-3p	A - B	-0.7478282912528857	0.5285105752825988	Inf	-1.4149731835602646	0.33310761843953385	0.99996069020055
hsa-miR-223-3p	A - C	0.8215834055483894	0.6588029251913033	Inf	1.2470852422366185	0.42542126433023164	0.952202338073415
hsa-miR-223-3p	B - C	1.569411696801275	0.6883075937411938	Inf	2.2801022552591212	0.05860768132033678	0.3176085814051258
hsa-miR-223-5p	A - B	-0.005176772502146724	0.6130695448120641	Inf	-0.008444021638252572	0.99996069020055	0.99996069020055
hsa-miR-223-5p	A - C	0.8723399776225782	0.6768538505313634	Inf	1.2888158602300166	0.4014649300385087	0.952202338073415
hsa-miR-223-5p	B - C	0.877516750124725	0.7429135192366993	Inf	1.1811829067619104	0.4644126304242908	0.9993328485310491
hsa-miR-224-5p	A - B	-0.40979574849080125	0.42445418853096617	Inf	-0.9654652011071025	0.5987531900995731	0.99996069020055
hsa-miR-224-5p	A - C	1.5070904183852203	0.6291715077863317	Inf	2.395357068357635	0.04381214416842982	0.307350563069073
hsa-miR-224-5p	B - C	1.9168861668760215	0.6540648571570383	Inf	2.9307279635967123	0.009475682198694546	0.17056227957650183
hsa-miR-23a-3p	A - B	-0.06411880830249013	0.46174874389089854	Inf	-0.13886081803319436	0.9894258329442593	0.99996069020055
hsa-miR-23a-3p	A - C	1.025881236853085	0.5824239363161097	Inf	1.7613995113969518	0.1827312103778076	0.7944201701625775
hsa-miR-23a-3p	B - C	1.0900000451555751	0.6240751547806289	Inf	1.7465845848946275	0.18797678282785513	0.5459244242417226
hsa-miR-23b-3p	A - B	0.36185157658694406	0.4338201883052914	Inf	0.8341049733082015	0.6818009215885072	0.99996069020055
hsa-miR-23b-3p	A - C	1.3961667290574147	0.5613157343132437	Inf	2.4873108728469746	0.0343943531738401	0.307350563069073
hsa-miR-23b-3p	B - C	1.0343151524704706	0.6144316389108754	Inf	1.683368965673495	0.21154934121822844	0.5459244242417226
hsa-miR-26a-5p	A - B	0.1970574227321972	0.42993012122024993	Inf	0.458347561629082	0.890677155752541	0.99996069020055
hsa-miR-26a-5p	A - C	1.352083465398133	0.5680066122675228	Inf	2.3804009252647953	0.045533416750973776	0.307350563069073
hsa-miR-26a-5p	B - C	1.1550260426659358	0.6140236054272029	Inf	1.8810775879900155	0.14414743727231394	0.4864124072299603
hsa-miR-26b-5p	A - B	-0.0779522188719596	0.6348626028742064	Inf	-0.12278596741885157	0.9917226606399281	0.99996069020055
hsa-miR-26b-5p	A - C	0.26078303939541814	0.6578100746821192	Inf	0.39644123650954904	0.9170243599555858	0.9746203112355434
hsa-miR-26b-5p	B - C	0.3387352582673777	0.727513562268108	Inf	0.4656067953033497	0.8873925750213695	0.9993328485310491
hsa-miR-301a-3p	A - B	0.23041642825033398	0.695384222815754	Inf	0.33135124538392663	0.9412764641434597	0.99996069020055
hsa-miR-301a-3p	A - C	0.4663319428419187	0.7036886669134472	Inf	0.6626963951080328	0.7851333558137318	0.9746203112355434
hsa-miR-301a-3p	B - C	0.23591551459158472	0.7877987397965044	Inf	0.29946165520970985	0.9517695739388041	0.9993328485310491
hsa-miR-30d-5p	A - B	-0.00779872249233546	0.6726109714999016	Inf	-0.011594700090818547	0.9999258837263896	0.99996069020055
hsa-miR-30d-5p	A - C	-1.3263452835765257	0.6036161373694106	Inf	-2.1973323797418756	0.07161298008079742	0.38671009243630605
hsa-miR-30d-5p	B - C	-1.3185465610841902	0.6903722104656191	Inf	-1.909906773615498	0.13583397460522595	0.4864124072299603
hsa-miR-3135b	A - B	0.46416998917057545	0.5546118376965965	Inf	0.8369276629549732	0.6800353434889475	0.99996069020055
hsa-miR-3135b	A - C	1.6431441744654673	0.6698861513891957	Inf	2.452870791638176	0.03769632565734049	0.307350563069073
hsa-miR-3135b	B - C	1.1789741852948918	0.7338085499790906	Inf	1.6066509245885536	0.2427678406052134	0.5958846996673419
hsa-miR-3184-3p	A - B	-0.6719817854346539	0.574204315887337	Inf	-1.1702834110471951	0.47098369847229105	0.99996069020055
hsa-miR-3184-3p	A - C	1.0304132280152882	0.6908857410824906	Inf	1.4914379712060937	0.295004264719968	0.952202338073415
hsa-miR-3184-3p	B - C	1.7023950134499422	0.736531197977727	Inf	2.3113685043134087	0.054233647671726226	0.3176085814051258
hsa-miR-320a-3p	A - B	0.17379479570163467	0.5651803557125868	Inf	0.30750324908676613	0.9492127815605327	0.99996069020055
hsa-miR-320a-3p	A - C	1.5926162257416514	0.6870986523986253	Inf	2.317885823501344	0.053357010413997985	0.3201420624839879
hsa-miR-320a-3p	B - C	1.4188214300400168	0.7455284012268295	Inf	1.9031084901731807	0.13776104738538608	0.4864124072299603
hsa-miR-330-3p	A - B	-1.1105698478872152	0.5778187637685691	Inf	-1.9220037796003908	0.13245530936360872	0.99996069020055
hsa-miR-330-3p	A - C	0.34361515371075174	0.6702858417017774	Inf	0.5126397311904322	0.8651877461300881	0.9746203112355434
hsa-miR-330-3p	B - C	1.454185001597967	0.6949229202699712	Inf	2.092584600653306	0.09134366276758943	0.44841434449543904
hsa-miR-342-3p	A - B	-0.09644896487518351	0.40951265866624337	Inf	-0.2355213272022204	0.969884007859332	0.99996069020055
hsa-miR-342-3p	A - C	0.9304473527717153	0.5022427444379414	Inf	1.852584956330184	0.15273154711715375	0.7497730494842093
hsa-miR-342-3p	B - C	1.0268963176468988	0.5392696426381637	Inf	1.9042353517680215	0.13744020666085155	0.4864124072299603
hsa-miR-409-5p	A - B	0.10420961332128145	0.6525339151932512	Inf	0.15969991887765597	0.9860380155004427	0.99996069020055
hsa-miR-409-5p	A - C	0.3562481905207512	0.6682437604369871	Inf	0.5331111364029625	0.8550477046379457	0.9746203112355434
hsa-miR-409-5p	B - C	0.25203857719946976	0.7468648121999392	Inf	0.3374621123963166	0.939158874333289	0.9993328485310491
hsa-miR-423-5p	A - B	-0.6523993161471457	0.5756000001822066	Inf	-1.1334248018426483	0.4934302980966626	0.99996069020055
hsa-miR-423-5p	A - C	1.0268652828588145	0.6907284735116491	Inf	1.4866410206578757	0.29731590522741325	0.952202338073415
hsa-miR-423-5p	B - C	1.6792645990059603	0.7369529057688592	Inf	2.278659308974421	0.05881640396391219	0.3176085814051258
hsa-miR-425-3p	A - B	0.3292829152641078	0.6592738031847087	Inf	0.49946306629121834	0.8715656640099302	0.99996069020055
hsa-miR-425-3p	A - C	0.9103701043730076	0.6930260909427589	Inf	1.3136159175978273	0.3875262862621789	0.952202338073415
hsa-miR-425-3p	B - C	0.5810871891088998	0.7723662568794459	Inf	0.7523466800020994	0.7322044059532182	0.9993328485310491
hsa-miR-425-5p	A - B	-0.07611584901129738	0.18491968250437912	Inf	-0.41161572408331853	0.9108501336010045	0.99996069020055
hsa-miR-425-5p	A - C	-0.08321361064030279	0.18459526525751582	Inf	-0.4507895179446632	0.8940548005647674	0.9746203112355434
hsa-miR-425-5p	B - C	-0.007097761629005411	0.20400534831440154	Inf	-0.03479203701104317	0.9993328485310491	0.9993328485310491
hsa-miR-454-3p	A - B	0.2250231896748828	0.6543255334329817	Inf	0.34390097616132603	0.9368910984695986	0.99996069020055
hsa-miR-454-3p	A - C	0.484223108570985	0.6707428047004786	Inf	0.7219206902818968	0.7504956893884746	0.9746203112355434
hsa-miR-454-3p	B - C	0.25919991889610217	0.7526007360911937	Inf	0.3444056143797002	0.9367117889356145	0.9993328485310491
hsa-miR-484	A - B	-0.1464730589665412	0.6512206529573654	Inf	-0.22492078268919796	0.9724968961868161	0.99996069020055
hsa-miR-484	A - C	0.37144559366140967	0.6801051150757691	Inf	0.5461590942747544	0.8484429144661495	0.9746203112355434
hsa-miR-484	B - C	0.5179186526279509	0.7501806310916908	Inf	0.690391928506947	0.7691088080558743	0.9993328485310491
hsa-miR-486-3p	A - B	-0.19500523020415272	0.543597296915123	Inf	-0.35873105203207206	0.9315269752689	0.99996069020055
hsa-miR-486-3p	A - C	-0.6481296979548081	0.5031824297668954	Inf	-1.288061068139961	0.40189273806070425	0.952202338073415
hsa-miR-486-3p	B - C	-0.4531244677506554	0.554969544096495	Inf	-0.8164852874734846	0.6927896151827694	0.9993328485310491
hsa-miR-486-5p	A - B	-0.16378510083820425	0.4574884954381927	Inf	-0.3580092231200857	0.9317925757950518	0.99996069020055
hsa-miR-486-5p	A - C	-0.6243882795880789	0.42647774551982875	Inf	-1.4640582917803113	0.30834179890264335	0.952202338073415
hsa-miR-486-5p	B - C	-0.4606031787498746	0.473283034824669	Inf	-0.9732087247127045	0.59383715173402	0.9993328485310491
hsa-miR-92a-3p	A - B	0.22492433160080316	0.4634180822547271	Inf	0.48535941995713705	0.8782586368266414	0.99996069020055
hsa-miR-92a-3p	A - C	-0.33771255156004903	0.4094226514745403	Inf	-0.8248506777623892	0.6875796453662817	0.9746203112355434
hsa-miR-92a-3p	B - C	-0.5626368831608521	0.4877560400041228	Inf	-1.1535210986953568	0.48115025473040574	0.9993328485310491
hsa-miR-92b-3p	A - B	-0.7826650832622388	0.49343440301090136	Inf	-1.586158319092614	0.25159200927951586	0.99996069020055
hsa-miR-92b-3p	A - C	1.153740633505532	0.6640273914105094	Inf	1.7374895199048743	0.19124930022432418	0.7944201701625775
hsa-miR-92b-3p	B - C	1.9364057167677708	0.6903024550468665	Inf	2.8051554830937158	0.013932579140043422	0.1880898183905862
hsa-miR-93-5p	A - B	-0.6193538883523598	0.6372572908160022	Inf	-0.97190553529687	0.594664377946581	0.99996069020055
hsa-miR-93-5p	A - C	0.1464259155911247	0.6780686022210354	Inf	0.21594557705739792	0.9746203112355434	0.9746203112355434
hsa-miR-93-5p	B - C	0.7657798039434845	0.7299183198877772	Inf	1.049130817899215	0.5458330938631176	0.9993328485310491
